0,766.6,771.53,773.55,776.39,776.63,777.56,776.36,772.84
0.02,766.6,771.6,773.44,776.29,776.56,777.47,776.23,772.72
0.04,766.6,771.63,773.41,776.22,776.42,777.31,776.13,772.54
0.06,766.53,771.67,773.34,776.18,776.44,777.34,776.09,772.6
0.08,766.49,771.55,773.41,776.23,776.46,777.38,776.25,772.59
0.1,766.49,771.58,773.34,776.3,776.47,777.46,776.23,772.6
0.12,766.55,771.52,773.38,776.18,776.44,777.43,776.19,772.58
0.14,766.52,771.6,773.38,776.16,776.4,777.36,776.19,772.58
0.16,766.45,771.49,773.23,776.15,776.38,777.37,776.13,772.51
0.18,766.39,771.46,773.28,776.14,776.38,777.32,776.11,772.5
0.2,766.43,771.46,773.26,776.16,776.44,777.4,776.24,772.54
0.22,766.44,771.55,773.31,776.25,776.4,777.5,776.22,772.63
0.24,766.45,771.46,773.27,776.24,776.58,777.64,776.35,772.72
0.26,766.54,771.42,773.28,776.23,776.52,777.53,776.38,772.64
0.28,766.51,771.45,773.33,776.22,776.52,777.52,776.32,772.74
0.3,766.48,771.43,773.26,776.24,776.5,777.58,776.28,772.66
0.32,766.42,771.4,773.25,776.23,776.55,777.57,776.28,772.72
0.34,766.41,771.42,773.25,776.18,776.59,777.58,776.38,772.71
0.36,766.44,771.35,773.25,776.23,776.62,777.7,776.43,772.82
0.38,766.42,771.4,773.23,776.29,776.68,777.73,776.56,772.84
0.4,766.39,771.38,773.25,776.29,776.71,777.73,776.49,772.83
0.42,766.36,771.4,773.3,776.29,776.72,777.82,776.62,772.86
0.44,766.41,771.34,773.29,776.44,776.82,777.82,776.62,772.89
0.46,766.33,771.25,773.29,776.39,776.8,777.91,776.68,772.99
0.48,766.33,771.28,773.35,776.35,776.84,777.88,776.69,772.95
0.5,766.33,771.28,773.32,776.53,776.83,777.97,776.71,773.04
0.52,766.29,771.34,773.38,776.54,777.01,778.06,776.89,773.18
0.54,766.33,771.39,773.48,776.62,777.1,778.13,777.03,773.26
0.56,766.26,771.44,773.56,776.92,777.29,778.46,777.2,773.51
0.58,766.33,771.55,773.86,777.21,777.62,778.66,777.47,773.74
0.6,766.3,771.78,774.18,777.64,777.82,778.87,777.61,773.98
0.62,766.27,772.13,774.68,778.19,778.26,779.24,777.94,774.25
0.64,766.18,772.41,775.08,778.7,778.57,779.49,778.15,774.42
0.66,766.3,772.64,775.52,779,778.68,779.57,778.2,774.42
0.68,766.29,772.95,775.8,779.44,779.02,779.94,778.41,774.49
0.7,766.24,773.26,776.22,779.86,779.42,780.36,778.79,774.79
0.72,766.27,773.55,776.56,780.28,779.77,780.82,779.18,775.05
0.74,766.27,773.82,776.87,780.61,780,781,779.37,775.13
0.76,766.29,773.95,777.08,780.76,780.12,781.21,779.52,775.21
0.78,766.33,774.22,777.09,781,780.29,781.35,779.62,775.27
0.8,766.19,774.31,777.29,780.95,780.29,781.45,779.65,775.22
0.82,766.27,774.36,777.29,780.96,780.38,781.51,779.69,775.2
0.84,766.27,774.31,777.22,780.94,780.38,781.57,779.7,775.29
0.86,766.23,774.28,777.15,780.76,780.37,781.55,779.77,775.33
0.88,766.13,774.23,776.97,780.7,780.2,781.49,779.8,775.17
0.9,766.09,773.94,776.76,780.5,780.13,781.31,779.71,775.2
0.92,765.97,773.8,776.54,780.16,779.97,781.19,779.56,775.12
0.94,765.88,773.53,776.32,779.88,779.77,781.04,779.36,774.97
0.96,765.73,773.36,775.99,779.68,779.62,780.92,779.35,774.94
0.98,765.81,773.14,775.9,779.54,779.49,780.85,779.29,774.88
1,765.68,773,775.73,779.38,779.42,780.74,779.25,774.87
1.02,765.67,772.87,775.57,779.17,779.26,780.62,779.17,774.85
1.04,765.55,772.81,775.42,779.01,779.21,780.5,779.11,774.82
1.06,765.58,772.65,775.28,778.82,779.05,780.38,779.01,774.76
1.08,765.61,772.53,775.18,778.66,778.9,780.22,778.9,774.67
1.1,765.58,772.47,775.06,778.55,778.87,780.23,778.93,774.66
1.12,765.57,772.36,774.95,778.53,778.75,780.08,778.81,774.64
1.14,765.59,772.33,774.91,778.41,778.69,780.03,778.81,774.63
1.16,765.58,772.3,774.85,778.33,778.69,779.98,778.84,774.58
1.18,765.59,772.18,774.79,778.22,778.57,779.99,778.83,774.61
1.2,765.62,772.15,774.7,778.12,778.54,779.95,778.82,774.58
1.22,765.54,772.06,774.77,778.21,778.54,779.95,778.83,774.6
1.24,765.59,772.09,774.7,778.1,778.51,779.94,778.84,774.64
1.26,765.6,772.01,774.78,778.09,778.57,779.96,778.93,774.75
1.28,765.58,772.03,774.68,778.09,778.5,779.86,778.8,774.63
1.3,765.53,771.97,774.62,777.92,778.3,779.64,778.69,774.58
1.32,765.71,772.06,774.59,777.94,778.28,779.69,778.62,774.41
1.34,765.58,772,774.63,777.88,778.27,779.68,778.71,774.55
1.36,765.66,771.96,774.49,777.89,778.28,779.68,778.66,774.52
1.38,765.67,771.97,774.51,777.78,778.13,779.6,778.63,774.46
1.4,765.67,771.88,774.41,777.66,778.09,779.51,778.65,774.49
1.42,765.57,771.85,774.45,777.7,778.09,779.43,778.59,774.48
1.44,765.68,771.87,774.42,777.61,777.99,779.54,778.59,774.51
1.46,765.68,771.88,774.43,777.67,778,779.51,778.61,774.44
1.48,765.61,771.8,774.45,777.61,778.06,779.47,778.57,774.5
1.5,765.63,771.82,774.41,777.66,778.06,779.51,778.63,774.53
1.52,765.67,771.8,774.35,777.64,778,779.47,778.63,774.52
1.54,765.67,771.81,774.41,777.59,777.89,779.38,778.63,774.46
1.56,765.64,771.79,774.37,777.54,777.92,779.45,778.57,774.55
1.58,765.66,771.82,774.36,777.62,777.94,779.4,778.58,774.51
1.6,765.74,771.81,774.37,777.6,777.95,779.42,778.62,774.49
1.62,765.74,771.84,774.37,777.47,777.9,779.37,778.57,774.57
1.64,765.72,771.72,774.34,777.53,777.97,779.38,778.65,774.49
1.66,765.71,771.75,774.28,777.56,777.92,779.43,778.66,774.44
1.68,765.68,771.67,774.33,777.52,777.93,779.42,778.72,774.53
1.7,765.75,771.73,774.28,777.51,777.85,779.34,778.68,774.51
1.72,765.71,771.65,774.31,777.5,777.82,779.32,778.54,774.53
1.74,765.7,771.67,774.26,777.48,777.84,779.27,778.62,774.47
1.76,765.75,771.67,774.25,777.4,777.79,779.3,778.6,774.49
1.78,765.64,771.64,774.25,777.4,777.83,779.23,778.58,774.46
1.8,765.64,771.57,774.17,777.31,777.7,779.18,778.55,774.41
1.82,765.66,771.57,774.18,777.34,777.75,779.17,778.54,774.39
1.84,765.64,771.56,774.14,777.3,777.68,779.14,778.47,774.44
