0,765.8001,777.4336,799.8605,805.9585,806.0335,808.1562,803.4608,796.2602,37.68,37.20,37.68,37.52,37.84,37.36,37.52,37.20
25,765.7626,779.7288,802.0732,808.4787,807.7662,808.8388,803.3783,796.2527,37.68,37.20,37.68,37.52,37.84,37.36,37.52,37.20
50,765.7851,780.7039,802.9658,809.7013,808.4487,809.1088,803.4158,796.3202,37.68,37.20,37.68,37.52,37.84,37.36,37.52,37.20
75,765.8451,781.6039,803.9858,810.7664,809.1688,809.6113,803.4908,796.5002,37.68,37.20,37.68,37.52,37.84,37.36,37.52,37.20
100,765.7776,783.1866,805.2984,811.9815,809.9338,810.1889,803.7683,796.8902,37.68,37.20,37.68,37.52,37.84,37.36,37.52,37.20
125,765.7926,783.8541,805.8460,812.5816,810.3389,810.3914,803.8508,797.0552,37.68,37.20,37.68,37.52,37.84,37.36,37.52,37.20
150,765.7926,784.4017,806.1160,812.9716,810.3689,810.4289,803.7083,796.8002,37.68,37.20,37.68,37.52,37.84,37.36,37.52,37.20
175,765.7401,784.7542,806.1910,812.9866,810.3539,810.3914,803.3783,796.5002,37.68,37.20,37.68,37.52,37.84,37.36,37.52,37.20
200,765.8976,784.5967,805.7560,812.8441,810.0839,810.2039,803.1383,796.2677,37.84,37.20,37.68,37.52,37.84,37.36,37.52,37.20
225,765.7626,784.5067,805.4035,812.5441,809.8663,810.0539,802.8082,796.0352,37.84,37.20,37.68,37.52,37.84,37.36,37.52,37.20
250,765.7851,784.2142,804.6309,811.9815,809.8738,810.0013,802.7632,795.8927,37.68,37.20,37.68,37.52,37.84,37.36,37.52,37.20
275,765.7851,784.0566,804.1284,811.7490,809.8663,810.1364,802.9583,796.1027,37.84,37.20,37.68,37.52,37.84,37.36,37.52,37.20
300,765.6951,783.7416,803.7833,811.6140,809.7313,810.0764,803.1533,796.2452,37.84,37.36,37.68,37.52,37.84,37.36,37.52,37.20
325,765.6426,783.3666,803.3258,811.1264,809.4463,810.0389,803.2058,796.2977,37.84,37.20,37.68,37.52,37.84,37.36,37.52,37.20
350,765.6876,783.1566,803.0408,810.9014,809.2138,809.8738,803.2433,796.2527,37.84,37.20,37.68,37.52,37.84,37.36,37.52,37.20
375,765.6726,782.9691,802.5682,810.5264,808.8913,809.6338,803.1308,795.9527,37.84,37.20,37.68,37.52,38.00,37.36,37.52,37.20
400,765.6426,782.5640,801.8782,809.9788,808.7037,809.6113,803.0183,796.0127,37.84,37.36,37.68,37.52,38.00,37.36,37.52,37.20
425,765.6201,782.3840,801.4281,809.6788,808.5762,809.6713,803.1683,795.9977,37.84,37.36,37.68,37.52,38.00,37.36,37.52,37.20
450,765.5901,782.2040,801.0156,809.4763,808.5087,809.6113,803.1908,796.0202,37.84,37.36,37.68,37.52,38.00,37.36,37.52,37.20
475,765.5901,781.8290,800.4605,808.9063,808.2762,809.4613,802.9883,795.8626,37.84,37.36,37.68,37.52,38.00,37.36,37.52,37.20
500,765.6051,781.5739,800.1605,808.4637,807.9912,809.3413,802.9057,795.7576,37.84,37.36,37.68,37.52,38.00,37.36,37.52,37.20
525,765.5151,781.1764,799.5755,808.1187,807.7812,809.3113,802.8907,795.7351,37.84,37.36,37.68,37.52,38.00,37.36,37.52,37.20
550,765.4776,780.8839,798.9304,807.5036,807.6687,809.4238,803.1533,795.9077,37.84,37.36,37.68,37.52,38.00,37.36,37.52,37.20
575,765.5076,780.6139,798.6604,807.2411,807.6837,809.4688,803.1908,795.9077,37.84,37.36,37.68,37.52,38.00,37.36,37.52,37.20
600,765.4776,780.3813,798.3079,807.0386,807.6386,809.4538,803.2058,795.9677,37.84,37.36,37.68,37.52,38.00,37.36,37.52,37.20
625,765.4626,779.7813,797.2503,806.1235,807.2561,809.2363,803.1908,795.7876,37.84,37.36,37.68,37.52,38.00,37.36,37.52,37.20
650,765.4101,779.3687,796.6277,805.5685,807.0611,809.1163,803.1758,795.7501,37.84,37.36,37.68,37.52,38.00,37.36,37.52,37.20
675,765.3576,778.9037,796.0502,805.0134,806.7536,808.9963,803.1383,795.6451,37.84,37.36,37.68,37.52,38.00,37.36,37.52,37.20
700,765.2750,778.1911,794.8501,803.8583,806.2885,808.8613,803.0858,795.6151,37.84,37.36,37.68,37.52,38.00,37.36,37.52,37.20
725,765.2375,777.6511,794.2650,803.2433,806.0710,808.8087,803.1233,795.5326,37.84,37.36,37.68,37.52,38.00,37.36,37.52,37.20
